experiment_id,scenario_family,algorithm,policy,seed,status,wall_time_s,cpu_time_s,scenario_success,scenario_realized,collision,near_collision,time_to_event,intervention_cost,scenario_duration,reason
red_light__laser__idm_conservative__s004,red_light,laser,idm_conservative,4,success,106.134,5.412,True,True,False,,,,19.950000297278166,
red_light__laser__idm_conservative__s005,red_light,laser,idm_conservative,5,success,114.174,6.346,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s000,red_light,laser,plant2,0,success,137.865,31.603,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s001,red_light,laser,plant2,1,success,129.399,23.322,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s002,red_light,laser,plant2,2,success,138.532,21.671,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s004,red_light,laser,plant2,4,success,140.686,21.045,True,True,False,,,,19.950000297278166,
red_light__laser__plant2__s005,red_light,laser,plant2,5,success,130.496,20.833,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s000,red_light,laser,tfv6,0,success,154.422,98.343,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s001,red_light,laser,tfv6,1,success,165.536,96.546,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s002,red_light,laser,tfv6,2,success,130.685,96.124,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s004,red_light,laser,tfv6,4,success,132.902,95.657,True,True,False,,,,19.950000297278166,
red_light__laser__tfv6__s005,red_light,laser,tfv6,5,success,151.214,97.235,True,True,False,,,,19.950000297278166,
right_turn__laser__idm__s000,right_turn,laser,idm,0,success,110.072,6.392,True,True,False,,,,19.950000297278166,
right_turn__laser__idm__s001,right_turn,laser,idm,1,success,123.655,6.493,True,True,False,,,,19.950000297278166,
right_turn__laser__idm__s002,right_turn,laser,idm,2,success,114.421,6.49,True,True,False,,,,19.950000297278166,
right_turn__laser__idm__s004,right_turn,laser,idm,4,success,108.063,6.417,True,True,False,,,,19.950000297278166,
right_turn__laser__idm__s005,right_turn,laser,idm,5,success,72.86,5.085,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_assertive__s000,right_turn,laser,idm_assertive,0,success,114.488,6.255,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_assertive__s001,right_turn,laser,idm_assertive,1,success,114.877,6.263,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_assertive__s002,right_turn,laser,idm_assertive,2,success,109.896,6.435,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_assertive__s004,right_turn,laser,idm_assertive,4,success,102.441,6.038,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_assertive__s005,right_turn,laser,idm_assertive,5,success,105.059,5.996,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_conservative__s000,right_turn,laser,idm_conservative,0,success,112.69,5.835,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_conservative__s001,right_turn,laser,idm_conservative,1,success,112.075,6.155,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_conservative__s002,right_turn,laser,idm_conservative,2,success,124.26,6.486,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_conservative__s004,right_turn,laser,idm_conservative,4,success,99.918,6.083,True,True,False,,,,19.950000297278166,
right_turn__laser__idm_conservative__s005,right_turn,laser,idm_conservative,5,success,100.86,6.333,True,True,False,,,,19.950000297278166,
